#Pos	Phred	A->A	A->C	A->G	A->T	A->N	C->A	C->C	C->G	C->T	C->N	G->A	G->C	G->G	G->T	G->N	T->A	T->C	T->G	T->T	T->N
7	35	313441	3032	4881	6338	0	3481	179598	2463	5680	0	5339	2179	217098	5792	0	5810	4139	4040	384127	0
7	36	42381	407	469	1097	0	441	23524	231	884	0	699	250	23259	888	0	936	600	461	62911	0
7	37	1908721	22796	28613	33209	0	23487	1265425	14929	28626	0	29511	15396	1255387	20015	0	35960	30646	22945	1797912	0
8	2	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1
8	5	2	1	1	2	0	1	1	1	1	0	1	1	2	1	0	2	1	1	9	0
8	6	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	2	1	2	2	0
8	8	71	11	70	4	0	15	50	56	5	0	5	6	83	12	0	10	12	108	161	0
8	10	1046	91	216	48	0	116	640	122	49	0	112	41	523	40	0	192	128	255	1072	0
8	11	398	22	46	55	0	76	187	26	41	0	57	15	85	33	0	116	26	53	751	0
8	12	1	1	1	1	0	1	3	1	1	0	1	1	2	1	0	1	1	1	2	0
8	14	1	1	1	1	0	1	2	1	1	0	1	1	1	1	0	1	1	1	1	0
8	15	57	2	21	12	0	2	44	23	15	0	5	2	89	9	0	2	4	29	342	0
8	16	225	5	53	4	0	3	132	29	4	0	11	5	290	3	0	11	10	39	99	0
8	17	1018	32	107	77	0	21	578	63	57	0	23	11	574	63	0	44	28	111	3094	0
8	18	870	21	61	17	0	26	567	35	11	0	19	14	522	10	0	23	34	49	432	0
8	19	951	18	45	36	0	24	510	21	20	0	38	13	362	20	0	50	39	49	995	0
8	20	12	1	1	2	0	1	4	1	2	0	3	1	7	2	0	1	1	2	21	0
8	21	117	3	17	3	0	1	75	13	1	0	2	3	247	10	0	5	3	17	108	0
8	22	120	3	13	4	0	5	73	10	1	0	4	4	236	4	0	2	3	12	94	0
8	23	1519	20	68	17	0	25	966	44	21	0	31	17	1213	21	0	38	39	77	1197	0
8	24	10	1	1	1	0	1	6	1	1	0	2	1	16	1	0	1	1	1	8	0
8	25	3624	38	96	86	0	41	2107	51	67	0	73	31	2211	62	0	73	63	68	4456	0
8	26	1994	28	40	16	0	22	1255	22	21	0	36	16	1422	19	0	26	37	31	863	0
8	27	5631	52	114	112	0	54	3039	73	111	0	89	45	3408	112	0	112	94	107	6699	0
8	28	3027	43	102	110	0	40	1940	37	97	0	61	27	1991	108	0	49	55	72	6623	0
8	29	4779	48	78	66	0	47	2434	36	52	0	93	29	3032	44	0	87	71	65	3465	0
8	30	18179	198	278	277	0	230	10587	124	260	0	305	115	11689	213	0	318	260	236	16957	0
8	31	833	15	52	29	0	13	698	36	44	0	24	18	1621	63	0	16	17	32	1992	0
8	32	23595	217	473	535	0	256	13415	259	466	0	403	175	17690	474	0	416	335	368	29962	0
8	33	34858	325	451	468	0	371	19269	234	453	0	577	191	20169	359	0	621	516	382	28669	0
8	34	12466	141	223	475	0	149	7732	101	374	0	222	79	8939	573	0	227	157	175	29829	0
8	35	104720	1046	1582	1857	0	1183	60079	828	1667	0	1801	744	70342	1548	0	2002	1393	1352	107589	0
8	36	16	1	1	4	0	1	6	1	1	0	1	1	8	1	0	1	1	1	58	0
